,name,username,user_id,verified,location,source,lang,text,possibly_sensitive,edit_history_tweet_ids,tweet_id,created_at,type
187,Miguel Macias,ElHijoProdigoMX,1.573138068764336e+18,False,"Coyoacán, Distrito Federal",Twitter for iPhone,es,@miseleccionmx Hahaha….business is falling,False,['1597293099230720000'],1597293099230720000,2022-11-28 18:15:25+00:00,replied_to
188,Fermin Aoaricio,FAoaricio,1.546478536416002e+18,False,,Twitter Web App,es,@miselectionmx @HenryMartinM stammer,False,['1597293032986247169'],1597293032986247169,2022-11-28 18:15:09+00:00,replied_to
189,Alfonso Martìnez,Alfonso58779849,1.592813833059541e+18,False,,Twitter for iPhone,es,@ErnestoAmador @miseleccionmx You don't know about that,False,['1597293004414648322'],1597293004414648322,2022-11-28 18:15:03+00:00,replied_to
190,Del Petre Coach,goyuscan,117832726.0,False,El Mictlán,Twitter for Android,es,"@FMF @miseleccionmx We have to campaign both in Mexico and in the United States not to go to national team matches until they give priority to sports, we want the Copa América, play on difficult pitches and return relegation and rules so that they can be born football players",False,['1597292991185817600'],1597292991185817600,2022-11-28 18:15:00+00:00,replied_to
191,Josué Vázquez,josuevazquez78,2658756646.0,False,,Twitter Web App,qme,@RaulOrvananos @miseleccionmx https://t.co/nTEDgTZ3Bj,False,['1597292945320730626'],1597292945320730626,2022-11-28 18:14:49+00:00,replied_to
192,Manuel Lopez,AntiSali1,1.5972773562798653e+18,False,,Twitter for Android,es,@miseleccionmx @HenryMartinM Why train if in the end they will put the trunk of @Raul_Jimenez9 😡😡,False,['1597292914719485952'],1597292914719485952,2022-11-28 18:14:41+00:00,replied_to
193,Miguel Abúndez,abundez86,1465666610.0,False,"Cuernavaca, Morelos",Twitter for Android,es,@miseleccionmx @UnVasoDeLALA @NotiTuit Let the sweeper come to the @FMF to clean up all this mess. I love @miseleccionmx and I want the best 🇲🇽❤️,False,['1597292906573807622'],1597292906573807622,2022-11-28 18:14:39+00:00,replied_to
194,jorge luna,jorgeluna29,365814356.0,False,,Twitter Web App,es,@RicardoBSalinas @shawn198712 @LigaBBVAMX @miseleccionmx And remove Yon from Luisa,False,['1597292884918927361'],1597292884918927361,2022-11-28 18:14:34+00:00,replied_to
195,Alejandro Mtz Tinoco,AleMTinoco,145401109.0,False,Estado de México ,Twitter for Android,es,"@El_TataMartino @miseleccionmx Of course if you hadn't sold us
Another story would have been
Fuck your mother you and Messi
#FueraTata",False,['1597292883769692162'],1597292883769692162,2022-11-28 18:14:34+00:00,replied_to
196,N.A.N.D.O Garcia,arm_nando,992902621.0,False,,Twitter Web App,es,"Chale, you have to know how to lose. Let's not look for false exits to the soccer frustration that @miseleccionmx generates for us. Surely the last thing that went through #Messi's head was to disrespect AN ADIDAS SHIRT, which is not a national symbol at all, much less a flag",False,['1597292847317028864'],1597292847317028864,2022-11-28 18:14:25+00:00,
197,Eloy,mtzgrarcia,2540982399.0,False,,Twitter for Android,es,@AristeguiOnline Why did Ghana's first goal count if there was a hand? @miseleccionmx and @fmf should watch the World Cup games of other teams. The little game of walking the ball around the entire field is very primitive and old. This game is how most of the teams play,False,['1597292847190851584'],1597292847190851584,2022-11-28 18:14:25+00:00,replied_to
198,pues yo!!,snoopydude15,7.21831902668329e+17,False,"Distrito Federal, México",Twitter for Android,es,@Ultra1013FM So it's unfortunate that @miseleccionmx and only players go for money there is no longer love for the shirt and this from the clubs and only the player wants to insure his life $$$$ it doesn't matter if he pays or not,False,['1597292841667301377'],1597292841667301377,2022-11-28 18:14:24+00:00,replied_to
199,Kerry Copito,xhingatumare,1.187280177916592e+18,False,Mexico,Twitter for Android,qam,@Canelo @miseleccionmx @HirvingLozano70 https://t.co/FilzMSBfA7,False,['1597292822885195777'],1597292822885195777,2022-11-28 18:14:19+00:00,quoted
200,arbol sabio mistico,Fiumban_t,1.0201132531192095e+18,False,,Twitter for iPhone,es,@miseleccionmx @Lc24C Let's go selection I want them to win and see that line of 7 against France,False,['1597292786222452736'],1597292786222452736,2022-11-28 18:14:11+00:00,replied_to
201,Carlos MV,Cacomv,156294887.0,False,,Twitter for Android,es,"Today at @miseleccionmx #PorSeparado Players and DT live together at the family reunion. I don't know how long they wait to send ch1ng4r to her mother to the #Farsante of the technician #TataMartino
@FMF
#FueraTataMartino",False,['1597292696619855873'],1597292696619855873,2022-11-28 18:13:49+00:00,
202,elber Góngora,CesarEMendozaR1,9.18110167828521e+17,False,"Tabasco, Zacatecas",Twitter for iPhone,es,How fucked up is @miseleccionmx that the World Cup note is a boxer!! Hahaha,False,['1597292662112952320'],1597292662112952320,2022-11-28 18:13:41+00:00,
203,Ricardo Obradorista 24/7,rimaru21,94340998.0,False,MEXICO ,Twitter for Android,es,"@chut_caliente @miseleccionmx @HenryMartinM Damn AMLO leave football alone, don't say bullshit dude",False,['1597292651463999488'],1597292651463999488,2022-11-28 18:13:39+00:00,replied_to
204,alex,alexcavazos210,7.521747460919214e+17,False,México,Twitter for iPhone,es,"@Patottas @fabul1977 @miseleccionmx It's the director, right? So he is not guilty of anything?",False,['1597292650818068480'],1597292650818068480,2022-11-28 18:13:38+00:00,replied_to
205,Fede,josefedemorales,1.466187973305766e+18,False,"Godoy Cruz, Argentina",Twitter for iPhone,es,@miseleccionmx When this happens against Argentina they should have a reserve but it's worth it for them to be corrupt,False,['1597292626600144896'],1597292626600144896,2022-11-28 18:13:33+00:00,replied_to
206,checo fan f1,miguelgallos1,283761208.0,False,,Twitter for Android,lv,@RaulOrvananos @miseleccionmx Just just just,False,['1597292501958000642'],1597292501958000642,2022-11-28 18:13:03+00:00,replied_to
207,WGR,jegalindoromo,2810171168.0,False,,Twitter for iPhone,es,"@di_tux I would have put together a squad with young assholes, that man is more than half to blame for what happens with @miseleccionmx",False,['1597292497834627072'],1597292497834627072,2022-11-28 18:13:02+00:00,replied_to
208,Teófilo Huerta,teohuerta,41181175.0,False,México,Twitter for iPhone,es,"@garoarenas 2006 has been in modern history the best level of play that @miseleccionmx has shown, the only bad thing was not having Cuauhtémoc due to the animosity between him and Lavolpe.",False,['1597292490134290432'],1597292490134290432,2022-11-28 18:13:00+00:00,replied_to
209,Treinta-ñero,kronstel,1.343551472043176e+18,False,,Twitter for Android,es,"@edgarpadilla @scottalrm @FMF @miseleccionmx Totally agree with you, let's campaign both in Mexico and the United States not to go to national team matches until they give priority to sports, we want the Copa América, play on difficult pitches and come back relegation and rules for soccer players to be born",False,['1597292478482128897'],1597292478482128897,2022-11-28 18:12:57+00:00,replied_to
210,Adrianche,svmx_lestat,1291608002.0,False,CDMX,Twitter for iPhone,es,@miseleccionmx @HenryMartinM 💩💩💩💩💩 there are more players 30 times better than him but his father Emilio Azcarraga gave them the order because they called him up,False,['1597292455082479617'],1597292455082479617,2022-11-28 18:12:52+00:00,replied_to
211,fernando zarzosa,Ferzal73,589708137.0,False,México ,Twitter Web App,es,@RicardoBSalinas @miseleccionmx typical of this USURERO do not doubt that his stores are the POINT OF SALE OF DRUGES so you better buy in Coppel and let Ricardo Usurero Salinas starve to death,False,['1597292450644885504'],1597292450644885504,2022-11-28 18:12:51+00:00,replied_to
212,Tlatoani_Cuauhtemoc,Cuauhtemoc_1521,772961053.0,False,Tenochtitlan,Twitter for iPhone,es,"@Patottas @miseleccionmx Is it true that Martino resigned him twice, and he accepted the resignation?",False,['1597292448820396033'],1597292448820396033,2022-11-28 18:12:50+00:00,replied_to
213,TNT Sports México,tntsportsmex,1.385351121603076e+18,True,,Twitter for iPhone,es,"@miseleccionmx I no longer expect anything from you (although I never had high expectations anyway) what I do hope is that at the end of the World Cup and Tata leaves, they appoint Guillermo Almada as Technician, that would be the best thing that could happen to selection at the moment.",False,['1597292436975677441'],1597292436975677441,2022-11-28 18:12:47+00:00,replied_to
214,Fermin Aoaricio,FAoaricio,1.546478536416002e+18,False,,Twitter for Android,es,"A clean one needs #Mexican soccer and fewer foreigners to be competitive, and @miseleccionmx everyone should leave because they don't have eggs and send their coach to hell who gave them to the #Argentines @jrisco @martinolimx @GarciaPosti @LRZague",False,['1597292401932259328'],1597292401932259328,2022-11-28 18:12:39+00:00,
215,javier fco sanchez,zar613,701594456.0,False,desde oaxaca la bella,Twitter for iPhone,es,"@RicardoBSalinas @miseleccionmx Don't suck Uncle, because we only ask you to change @miseleccionmx for being one of the franchise owners in Mexico that you are in the vox populi, no way we tell the Martínez or Vergara. Assume the power and responsibility that you have as an owner",False,['1597292399415656448'],1597292399415656448,2022-11-28 18:12:38+00:00,replied_to
216,DANESH COSTA,DaneshCosta,870293702.0,False,,Twitter for Android,es,@tntsportsmex @miseleccionmx @HenryMartinM I don't know you Mr. CM from TNT Sports but fuck your mother for encouraging the mediocre,False,['1597292381715714048'],1597292381715714048,2022-11-28 18:12:34+00:00,replied_to
217,Diario Nuevo Día,nuevodiaenlinea,193504277.0,True,Estado Falcón - Venezuela,Twitter for Android,es,@miseleccionmx They better think about coming back 🤣😂,False,['1597292379043950592'],1597292379043950592,2022-11-28 18:12:34+00:00,replied_to
218,Marciano2020,MEAhumadaS,4184853852.0,False,,Twitter for Android,es,@miseleccionmx @HenryMartinM Go to the gaver a lot YON DE LUISA,False,['1597292359536238592'],1597292359536238592,2022-11-28 18:12:29+00:00,replied_to
219,Manuel Nogueira,langarocule,1.5476356447042478e+18,False,,Twitter for iPhone,es,@RMLeipsismo @ModoCarreraJR1 @clubleonfc @miseleccionmx Could it be because everything went to shit since he left us? 😂,False,['1597292352938586114'],1597292352938586114,2022-11-28 18:12:27+00:00,replied_to
220,Teresa Rodríguez de la Vega,tesiture,1936241773.0,False,"Coyoacán, Distrito Federal",Twitter for Android,es,@xmilianx_ @miseleccionmx for you @fedebaigorria16,False,['1597292342788390912'],1597292342788390912,2022-11-28 18:12:25+00:00,replied_to
221,Gael😮‍💨,RMLeipsismo,8.149645113755771e+17,False,"León, Guanajuato",Twitter for Android,es,"@FarsantesG Mexican soccer is very sad @miseleccionmx is worse than ever, in CLEAR regression, we have the worst league in America @LigaBBVAMX and now you can see the results of idiocy, for example, such as NO relegation, timeshare, etc etc.. .but that the same cancers continue above",False,['1597292309384941570'],1597292309384941570,2022-11-28 18:12:17+00:00,replied_to
222,Guerrero Conexiones.,Gro_Conexiones,169942641.0,False,Chilpancingo de los Bravo,Twitter for Android,es,But why see what? To the Mexican team @miseleccionmx THE MEXICO SELECTION IS SHIT!!!!! CAGONES PLAYERS AND RATONERS https://t.co/kgDTYdefMv,False,['1597292277143330816'],1597292277143330816,2022-11-28 18:12:09+00:00,quoted
223,ill Cosby,JrVonDoom,203386105.0,False,"Culiacán, Sinaloa, México,",Twitter for Android,es,"So things....

He would never do it.... as long as Argentina is not my rival...

TRAITOR.

@miseleccionmx https://t.co/WyT4lz3t27",False,['1597292215050829825'],1597292215050829825,2022-11-28 18:11:54+00:00,quoted
224,checo fan f1,miguelgallos1,283761208.0,False,,Twitter for Android,es,"@miseleccionmx Don't waste time on free kicks, corner kicks, or shots on goal, whatever you want in the game you don't even do it, better start praying and ask for a miracle, I see it as more feasible",False,['1597292151704293376'],1597292151704293376,2022-11-28 18:11:39+00:00,replied_to
225,WGR,jegalindoromo,2810171168.0,False,,Twitter for Android,es,@miseleccionmx @Lc24C Che MEXICO the World Cup has already started.. you can score a goal if you want,False,['1597292098692481026'],1597292098692481026,2022-11-28 18:11:27+00:00,replied_to
226,Teófilo Huerta,teohuerta,41181175.0,False,México,Twitter for Android,es,@miseleccionmx @Lc24C Focused on the next drunkenness and the affectionate ones,False,['1597292091167895552'],1597292091167895552,2022-11-28 18:11:25+00:00,replied_to
227,Treinta-ñero,kronstel,1.343551472043176e+18,False,,Twitter for Android,es,@miseleccionmx @Lc24C I think the entire @miseleccionmx is run by whitexicans. That is why the team does not connect with the rest of the population and everything is flat.,False,['1597292080141062144'],1597292080141062144,2022-11-28 18:11:22+00:00,replied_to
228,Adrianche,svmx_lestat,1291608002.0,False,CDMX,Twitter for Android,es,@adn40 @miseleccionmx @soyhernanh @maraduron10 There is none of that. El Canelo is clueless or very upset with the result.,False,['1597292047697793024'],1597292047697793024,2022-11-28 18:11:15+00:00,replied_to
229,fernando zarzosa,Ferzal73,589708137.0,False,México ,Twitter for Android,es,@zaragoza1380 @miseleccionmx @HenryMartinM I don't need them,False,['1597292041427644416'],1597292041427644416,2022-11-28 18:11:13+00:00,replied_to
230,Tlatoani_Cuauhtemoc,Cuauhtemoc_1521,772961053.0,False,Tenochtitlan,Twitter for Android,es,"@RaulOrvananos @miseleccionmx He said the same before the game against Argentina. He went too far because he could have raised it differently, he was afraid of them and did not trust his players. After his imminent elimination he is going to say that there were players who were not on his level or something else.",False,['1597292027217313792'],1597292027217313792,2022-11-28 18:11:10+00:00,replied_to
231,TNT Sports México,tntsportsmex,1.385351121603076e+18,True,,Twitter for Android,es,"@miseleccionmx @HenryMartinM Go to sleep for a little while longer, not to post, they are about to complete the worst update with group cancer @Orlegi_Sports , @MikelArriolaP , yon de Luisa and certain managers who prioritized money over sport did not even play their ""farewell"" in Mexico",False,['1597291909797810176'],1597291909797810176,2022-11-28 18:10:42+00:00,replied_to
232,Fermin Aoaricio,FAoaricio,1.546478536416002e+18,False,,Twitter for Android,es,"If a team aspires to be great, that deserves to be supported ""unconditionally"", it has to go out and win two games in the World Cup. No tie, no ""almost"". In this and in all the soccer world cups. It's easy to understand @miseleccionmx",False,['1597291908644368384'],1597291908644368384,2022-11-28 18:10:41+00:00,
233,javier fco sanchez,zar613,701594456.0,False,desde oaxaca la bella,Twitter for iPhone,es,@laliux66 @Vicente40630343 @miseleccionmx And now none so far,False,['1597291902747148288'],1597291902747148288,2022-11-28 18:10:40+00:00,replied_to
234,DANESH COSTA,DaneshCosta,870293702.0,False,,Twitter Web App,es,@miseleccionmx @HenryMartinM With everything for the win! 🇲🇽,False,['1597291868068331520'],1597291868068331520,2022-11-28 18:10:32+00:00,replied_to
235,Diario Nuevo Día,nuevodiaenlinea,193504277.0,True,Estado Falcón - Venezuela,Twitter for iPhone,es,@miseleccionmx @Lc24C Better run it now and put an interim only so they will win😂😂,False,['1597291859763953664'],1597291859763953664,2022-11-28 18:10:30+00:00,replied_to
236,Marciano2020,MEAhumadaS,4184853852.0,False,,Twitter for Android,es,"@ecamarena1 @miseleccionmx @FMF @USMNT well, let's not even apply that of the philosopher José Alfredo ...my @ecamarena, once again to toast with strangers and cry over the same mistakes",False,['1597291799055564802'],1597291799055564802,2022-11-28 18:10:15+00:00,replied_to
237,Manuel Nogueira,langarocule,1.5476356447042478e+18,False,,Twitter for iPhone,es,@RiverPl07802904 @josantonyo03 @FMF @miseleccionmx With all those stars they ate two goals from the world power “Arabia” with El Tata in their favor. Mexico was allowed to win,False,['1597291751764422656'],1597291751764422656,2022-11-28 18:10:04+00:00,replied_to
238,Teresa Rodríguez de la Vega,tesiture,1936241773.0,False,"Coyoacán, Distrito Federal",TweetDeck,es,"#NewDay | 👉🇲🇽🇦🇷This was @Canelo's threat against #Messi @fifaworldcup_es, @Argentina @miseleccionmx

#CaneloVsMessi #canelomessi #MexicoVsArgentina
#NewsFalcon

More information HERE 👇
https://t.co/4qK6DqD9F1 https://t.co/arjwvDRZEX",False,['1597291734110593031'],1597291734110593031,2022-11-28 18:10:00+00:00,
239,Gael😮‍💨,RMLeipsismo,8.149645113755771e+17,False,"León, Guanajuato",Twitter for Android,es,"@gabosainz Ask @miseleccionmx they put it there. The worst ""Mexican"" selection ever.",False,['1597291700812419074'],1597291700812419074,2022-11-28 18:09:52+00:00,replied_to
240,Guerrero Conexiones.,Gro_Conexiones,169942641.0,False,Chilpancingo de los Bravo,Twitter for Android,es,"@castrosillo @miseleccionmx That's what I've been saying since the World Cup started, get out now! The hands of televisa of the FMF.",False,['1597291694772215808'],1597291694772215808,2022-11-28 18:09:50+00:00,replied_to
241,ill Cosby,JrVonDoom,203386105.0,False,"Culiacán, Sinaloa, México,",Twitter for iPhone,es,@laDanFlores @miseleccionmx Me too. 😤😤😤,False,['1597291650430406656'],1597291650430406656,2022-11-28 18:09:40+00:00,replied_to
242,checo fan f1,miguelgallos1,283761208.0,False,,Twitter for Android,es,@ModoCarreraJR1 @clubleonfc @miseleccionmx Haha Nachito is the ex who doesn't get over it 🥲,False,['1597291637788774401'],1597291637788774401,2022-11-28 18:09:37+00:00,replied_to
243,WGR,jegalindoromo,2810171168.0,False,,Twitter for Android,es,"Many Mexican races are culera:

@ yosoy8a's 🍆 bled when he cut the penalty, but today they ridicule him.

The starving people who bet against @miseleccionmx

Those who voted for @PartidoMorenaMx and today are barking at @lopezobrador_

For that and more they do not progress.",False,['1597291619216420864'],1597291619216420864,2022-11-28 18:09:32+00:00,
244,Teófilo Huerta,teohuerta,41181175.0,False,México,Twitter for Android,es,"Please @miseleccionmx, get cock against Arabia. https://t.co/MOPwZAIrQt",False,['1597291569715240962'],1597291569715240962,2022-11-28 18:09:21+00:00,
245,Treinta-ñero,kronstel,1.343551472043176e+18,False,,Twitter for Android,es,@miseleccionmx @Lc24C Focused on the next drunkenness and the affectionate ones,False,['1597292091167895552'],1597292091167895552,2022-11-28 18:11:25+00:00,replied_to
246,Adrianche,svmx_lestat,1291608002.0,False,CDMX,Twitter for Android,es,@miseleccionmx @Lc24C I think the entire @miseleccionmx is run by whitexicans. That is why the team does not connect with the rest of the population and everything is flat.,False,['1597292080141062144'],1597292080141062144,2022-11-28 18:11:22+00:00,replied_to
247,fernando zarzosa,Ferzal73,589708137.0,False,México ,Twitter for Android,es,@adn40 @miseleccionmx @soyhernanh @maraduron10 There is none of that. El Canelo is clueless or very upset with the result.,False,['1597292047697793024'],1597292047697793024,2022-11-28 18:11:15+00:00,replied_to
248,Tlatoani_Cuauhtemoc,Cuauhtemoc_1521,772961053.0,False,Tenochtitlan,Twitter for Android,es,@zaragoza1380 @miseleccionmx @HenryMartinM I don't need them,False,['1597292041427644416'],1597292041427644416,2022-11-28 18:11:13+00:00,replied_to
249,TNT Sports México,tntsportsmex,1.385351121603076e+18,True,,Twitter for Android,es,"@RaulOrvananos @miseleccionmx He said the same before the game against Argentina. He went too far because he could have raised it differently, he was afraid of them and did not trust his players. After his imminent elimination he is going to say that there were players who were not on his level or something else.",False,['1597292027217313792'],1597292027217313792,2022-11-28 18:11:10+00:00,replied_to
250,Fermin Aoaricio,FAoaricio,1.546478536416002e+18,False,,Twitter for Android,es,"@miseleccionmx @HenryMartinM Go to sleep for a little while longer, not to post, they are about to complete the worst update with group cancer @Orlegi_Sports , @MikelArriolaP , yon de Luisa and certain managers who prioritized money over sport did not even play their ""farewell"" in Mexico",False,['1597291909797810176'],1597291909797810176,2022-11-28 18:10:42+00:00,replied_to
251,javier fco sanchez,zar613,701594456.0,False,desde oaxaca la bella,Twitter for Android,es,"If a team aspires to be great, that deserves to be supported ""unconditionally"", it has to go out and win two games in the World Cup. No tie, no ""almost"". In this and in all the soccer world cups. It's easy to understand @miseleccionmx",False,['1597291908644368384'],1597291908644368384,2022-11-28 18:10:41+00:00,
252,DANESH COSTA,DaneshCosta,870293702.0,False,,Twitter for iPhone,es,@laliux66 @Vicente40630343 @miseleccionmx And now none so far,False,['1597291902747148288'],1597291902747148288,2022-11-28 18:10:40+00:00,replied_to
253,Diario Nuevo Día,nuevodiaenlinea,193504277.0,True,Estado Falcón - Venezuela,Twitter Web App,es,@miseleccionmx @HenryMartinM With everything for the win! 🇲🇽,False,['1597291868068331520'],1597291868068331520,2022-11-28 18:10:32+00:00,replied_to
254,Marciano2020,MEAhumadaS,4184853852.0,False,,Twitter for iPhone,es,@miseleccionmx @Lc24C Better run it now and put an interim only so they will win😂😂,False,['1597291859763953664'],1597291859763953664,2022-11-28 18:10:30+00:00,replied_to
255,Manuel Nogueira,langarocule,1.5476356447042478e+18,False,,Twitter for Android,es,"@ecamarena1 @miseleccionmx @FMF @USMNT well, let's not even apply that of the philosopher José Alfredo ...my @ecamarena, once again to toast with strangers and cry over the same mistakes",False,['1597291799055564802'],1597291799055564802,2022-11-28 18:10:15+00:00,replied_to
256,Teresa Rodríguez de la Vega,tesiture,1936241773.0,False,"Coyoacán, Distrito Federal",Twitter for iPhone,es,@RiverPl07802904 @josantonyo03 @FMF @miseleccionmx With all those stars they ate two goals from the world power “Arabia” with El Tata in their favor. Mexico was allowed to win,False,['1597291751764422656'],1597291751764422656,2022-11-28 18:10:04+00:00,replied_to
257,Gael😮‍💨,RMLeipsismo,8.149645113755771e+17,False,"León, Guanajuato",TweetDeck,es,"#NewDay | 👉🇲🇽🇦🇷This was @Canelo's threat against #Messi @fifaworldcup_es, @Argentina @miseleccionmx

#CaneloVsMessi #canelomessi #MexicoVsArgentina
#NewsFalcon

More information HERE 👇
https://t.co/4qK6DqD9F1 https://t.co/arjwvDRZEX",False,['1597291734110593031'],1597291734110593031,2022-11-28 18:10:00+00:00,
258,Guerrero Conexiones.,Gro_Conexiones,169942641.0,False,Chilpancingo de los Bravo,Twitter for Android,es,"@gabosainz Ask @miseleccionmx they put it there. The worst ""Mexican"" selection ever.",False,['1597291700812419074'],1597291700812419074,2022-11-28 18:09:52+00:00,replied_to
259,ill Cosby,JrVonDoom,203386105.0,False,"Culiacán, Sinaloa, México,",Twitter for Android,es,"@castrosillo @miseleccionmx That's what I've been saying since the World Cup started, get out now! The hands of televisa of the FMF.",False,['1597291694772215808'],1597291694772215808,2022-11-28 18:09:50+00:00,replied_to
260,checo fan f1,miguelgallos1,283761208.0,False,,Twitter for iPhone,es,@laDanFlores @miseleccionmx Me too. 😤😤😤,False,['1597291650430406656'],1597291650430406656,2022-11-28 18:09:40+00:00,replied_to
261,WGR,jegalindoromo,2810171168.0,False,,Twitter for Android,es,@ModoCarreraJR1 @clubleonfc @miseleccionmx Haha Nachito is the ex who doesn't get over it 🥲,False,['1597291637788774401'],1597291637788774401,2022-11-28 18:09:37+00:00,replied_to
262,Teófilo Huerta,teohuerta,41181175.0,False,México,Twitter for Android,es,"Many Mexican races are culera:

@ yosoy8a's 🍆 bled when he cut the penalty, but today they ridicule him.

The starving people who bet against @miseleccionmx

Those who voted for @PartidoMorenaMx and today are barking at @lopezobrador_

For that and more they do not progress.",False,['1597291619216420864'],1597291619216420864,2022-11-28 18:09:32+00:00,
263,Treinta-ñero,kronstel,1.343551472043176e+18,False,,Twitter for Android,es,"Please @miseleccionmx, get cock against Arabia. https://t.co/MOPwZAIrQt",False,['1597291569715240962'],1597291569715240962,2022-11-28 18:09:21+00:00,
264,Adrianche,svmx_lestat,1291608002.0,False,CDMX,Twitter for Android,es,@miseleccionmx @Lc24C Focused on the next drunkenness and the affectionate ones,False,['1597292091167895552'],1597292091167895552,2022-11-28 18:11:25+00:00,replied_to
265,fernando zarzosa,Ferzal73,589708137.0,False,México ,Twitter for Android,es,@miseleccionmx @Lc24C I think the entire @miseleccionmx is run by whitexicans. That is why the team does not connect with the rest of the population and everything is flat.,False,['1597292080141062144'],1597292080141062144,2022-11-28 18:11:22+00:00,replied_to
266,Tlatoani_Cuauhtemoc,Cuauhtemoc_1521,772961053.0,False,Tenochtitlan,Twitter for Android,es,@adn40 @miseleccionmx @soyhernanh @maraduron10 There is none of that. El Canelo is clueless or very upset with the result.,False,['1597292047697793024'],1597292047697793024,2022-11-28 18:11:15+00:00,replied_to
267,TNT Sports México,tntsportsmex,1.385351121603076e+18,True,,Twitter for Android,es,@zaragoza1380 @miseleccionmx @HenryMartinM I don't need them,False,['1597292041427644416'],1597292041427644416,2022-11-28 18:11:13+00:00,replied_to
268,Fermin Aoaricio,FAoaricio,1.546478536416002e+18,False,,Twitter for Android,es,"@RaulOrvananos @miseleccionmx He said the same before the game against Argentina. He went too far because he could have raised it differently, he was afraid of them and did not trust his players. After his imminent elimination he is going to say that there were players who were not on his level or something else.",False,['1597292027217313792'],1597292027217313792,2022-11-28 18:11:10+00:00,replied_to
269,javier fco sanchez,zar613,701594456.0,False,desde oaxaca la bella,Twitter for Android,es,"@miseleccionmx @HenryMartinM Go to sleep for a little while longer, not to post, they are about to complete the worst update with group cancer @Orlegi_Sports , @MikelArriolaP , yon de Luisa and certain managers who prioritized money over sport did not even play their ""farewell"" in Mexico",False,['1597291909797810176'],1597291909797810176,2022-11-28 18:10:42+00:00,replied_to
270,DANESH COSTA,DaneshCosta,870293702.0,False,,Twitter for Android,es,"If a team aspires to be great, that deserves to be supported ""unconditionally"", it has to go out and win two games in the World Cup. No tie, no ""almost"". In this and in all the soccer world cups. It's easy to understand @miseleccionmx",False,['1597291908644368384'],1597291908644368384,2022-11-28 18:10:41+00:00,
271,Diario Nuevo Día,nuevodiaenlinea,193504277.0,True,Estado Falcón - Venezuela,Twitter for iPhone,es,@laliux66 @Vicente40630343 @miseleccionmx And now none so far,False,['1597291902747148288'],1597291902747148288,2022-11-28 18:10:40+00:00,replied_to
272,Marciano2020,MEAhumadaS,4184853852.0,False,,Twitter Web App,es,@miseleccionmx @HenryMartinM With everything for the win! 🇲🇽,False,['1597291868068331520'],1597291868068331520,2022-11-28 18:10:32+00:00,replied_to
273,Manuel Nogueira,langarocule,1.5476356447042478e+18,False,,Twitter for iPhone,es,@miseleccionmx @Lc24C Better run it now and put an interim only so they will win😂😂,False,['1597291859763953664'],1597291859763953664,2022-11-28 18:10:30+00:00,replied_to
274,Teresa Rodríguez de la Vega,tesiture,1936241773.0,False,"Coyoacán, Distrito Federal",Twitter for Android,es,"@ecamarena1 @miseleccionmx @FMF @USMNT well, let's not even apply that of the philosopher José Alfredo ...my @ecamarena, once again to toast with strangers and cry over the same mistakes",False,['1597291799055564802'],1597291799055564802,2022-11-28 18:10:15+00:00,replied_to
275,Gael😮‍💨,RMLeipsismo,8.149645113755771e+17,False,"León, Guanajuato",Twitter for iPhone,es,@RiverPl07802904 @josantonyo03 @FMF @miseleccionmx With all those stars they ate two goals from the world power “Arabia” with El Tata in their favor. Mexico was allowed to win,False,['1597291751764422656'],1597291751764422656,2022-11-28 18:10:04+00:00,replied_to
276,Guerrero Conexiones.,Gro_Conexiones,169942641.0,False,Chilpancingo de los Bravo,TweetDeck,es,"#NewDay | 👉🇲🇽🇦🇷This was @Canelo's threat against #Messi @fifaworldcup_es, @Argentina @miseleccionmx

#CaneloVsMessi #canelomessi #MexicoVsArgentina
#NewsFalcon

More information HERE 👇
https://t.co/4qK6DqD9F1 https://t.co/arjwvDRZEX",False,['1597291734110593031'],1597291734110593031,2022-11-28 18:10:00+00:00,
277,ill Cosby,JrVonDoom,203386105.0,False,"Culiacán, Sinaloa, México,",Twitter for Android,es,"@gabosainz Ask @miseleccionmx they put it there. The worst ""Mexican"" selection ever.",False,['1597291700812419074'],1597291700812419074,2022-11-28 18:09:52+00:00,replied_to
278,checo fan f1,miguelgallos1,283761208.0,False,,Twitter for Android,es,"@castrosillo @miseleccionmx That's what I've been saying since the World Cup started, get out now! The hands of televisa of the FMF.",False,['1597291694772215808'],1597291694772215808,2022-11-28 18:09:50+00:00,replied_to
279,WGR,jegalindoromo,2810171168.0,False,,Twitter for iPhone,es,@laDanFlores @miseleccionmx Me too. 😤😤😤,False,['1597291650430406656'],1597291650430406656,2022-11-28 18:09:40+00:00,replied_to
280,Teófilo Huerta,teohuerta,41181175.0,False,México,Twitter for Android,es,@ModoCarreraJR1 @clubleonfc @miseleccionmx Haha Nachito is the ex who doesn't get over it 🥲,False,['1597291637788774401'],1597291637788774401,2022-11-28 18:09:37+00:00,replied_to
281,Treinta-ñero,kronstel,1.343551472043176e+18,False,,Twitter for Android,es,"Many Mexican races are culera:

@ yosoy8a's 🍆 bled when he cut the penalty, but today they ridicule him.

The starving people who bet against @miseleccionmx

Those who voted for @PartidoMorenaMx and today are barking at @lopezobrador_

For that and more they do not progress.",False,['1597291619216420864'],1597291619216420864,2022-11-28 18:09:32+00:00,
